,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
54,Bang!,AJR,374405,https://open.spotify.com/track/53BHUFdQphHiZUUG3nx9zn
55,Robbery,"Juice WRLD",372137,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
56,Body,"Megan Thee Stallion",370501,https://open.spotify.com/track/0A1hoCfMLkiAgvhWkkucJa
57,"Opp Stoppa (feat. 21 Savage)","YBN Nahmir",369312,https://open.spotify.com/track/59fFsGRwFiuhxKDPc1k6xW
58,willow,"Taylor Swift",364060,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D
59,Heather,"Conan Gray",359469,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
60,"Somebody’s Problem","Morgan Wallen",357369,https://open.spotify.com/track/42lqBjPYlmL1EXpMDXvhSN
61,"Cry Baby (feat. DaBaby)","Megan Thee Stallion",356772,https://open.spotify.com/track/4aarlAfLKVCTxUDNgbwhjH
62,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",349182,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
63,Circles,"Post Malone",348902,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
64,"Bad Boy (with Young Thug)","Juice WRLD",348435,https://open.spotify.com/track/43CIWpJaJHRcI4mUSjqgc2
65,"The Box","Roddy Ricch",348327,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
66,"Someone You Loved","Lewis Capaldi",347258,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
67,"someone like u - interlude","Ariana Grande",344356,https://open.spotify.com/track/3Os1431WclqyKxWqMzRESE
68,"Go Crazy (Remix) (feat. Young Thug, Future, Lil Durk & Mulatto)","Chris Brown",337760,https://open.spotify.com/track/1Jz1yhcPm1Yt6aoed3zact
69,"The Hills","The Weeknd",332125,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
70,"Daddy Issues","The Neighbourhood",321617,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
71,HOLIDAY,"Lil Nas X",314972,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
72,"No Role Modelz","J. Cole",309108,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
73,Dynamite,BTS,307806,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
74,"Hit Bout It","Lil Yachty",303323,https://open.spotify.com/track/6SN1H9p6A0UbsNpfkxEEX6
75,"7 Summers","Morgan Wallen",301891,https://open.spotify.com/track/4obHzpwGrjoTuZh2DItEMZ
76,"More Than My Hometown","Morgan Wallen",300934,https://open.spotify.com/track/5OELUCYgOHKFAvCERnAvfS
77,"Jocelyn Flores",XXXTENTACION,298986,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
78,"Life Is Good (feat. Drake)",Future,298037,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
